d,English,German,Russian
GAMEPLAY_InvertY,Invert Y,,
GAMEPLAY_ItemAddedToInventory,{item-name} added to inventory,,
GAMEPLAY_ItemCondition,Condition,,
GAMEPLAY_Itemisalreadyfullyrepaired,Item is already fully repaired,,
GAMEPLAY_ItemToCraft,Objet à Fabriquer:,,
GAMEPLAY_ItemToHarvest,Objet à Recycler,,
GAMEPLAY_ItemToRepair,Objet à Réparer:,,
GAMEPLAY_Itstoowindytostartafirethere,It's too windy to start a fire there,,
GAMEPLAY_JackrabbitIsland,Jackrabbit Island,,
GAMEPLAY_Jeans,Jeans,,
GAMEPLAY_JeansDescription,Basic denim jeans. Not much good for anything out here.,,
GAMEPLAY_JeansTooltip,Clothing,,
GAMEPLAY_JerryCan,Jerry Can,,
GAMEPLAY_JerryCanDescription,"An old metal jerry can containing kerosene, fuel for oil lamps.",,
GAMEPLAY_JerryCanTooltip,Fuel,,
GAMEPLAY_Kerosene,Kerosene,,
GAMEPLAY_KeyBindings,Config. touches,,
GAMEPLAY_kgUnits,kg,,
GAMEPLAY_kmhUnits,km/h,,
GAMEPLAY_kmUnits,km,,
GAMEPLAY_Ladder,Ladder,,
GAMEPLAY_LakeCabins,Lake Cabins,,
GAMEPLAY_LakeTrail,Lake Trail,,
GAMEPLAY_Lampalreadyfull,Lamp already full,,
GAMEPLAY_LanternFuel,Lantern Fuel,,
GAMEPLAY_LanternFuelDescription,Small bottle of kerosene.,,
GAMEPLAY_LanternFuelTooltip,Fuel,,
GAMEPLAY_LanternLighting,Lighting...,,
GAMEPLAY_lbsUnits,lbs,,
GAMEPLAY_Leather,Cuir,,
GAMEPLAY_LeatherDescription,Leather used for crafting and repair.,,
GAMEPLAY_LeatherTooltip,Raw material,,
GAMEPLAY_Left,Left,,
GAMEPLAY_lessthanoneminute,less than one minute,,
GAMEPLAY_Lid,Lid,,
GAMEPLAY_LightSnow,Light Snow,,
GAMEPLAY_litreUnits,L,,
GAMEPLAY_Load,Charger,,
GAMEPLAY_LoadGame,Charger Partie,,
GAMEPLAY_LoadingProgress,Chargement...,,
GAMEPLAY_LoadTextDefault,"A mysterious geomagnetic storm has brought your plane crashing down into the Northern Canadian wilderness. 

How long can you survive?",,
GAMEPLAY_LockedPostfix,(Locked),,
GAMEPLAY_Locker,Locker,,
GAMEPLAY_Log,Log,,
GAMEPLAY_Logbook,Log,,
GAMEPLAY_LoggingCamp,Logging Camp,,
GAMEPLAY_Logs,Logs,,
GAMEPLAY_LogSort,Log Sort,,
GAMEPLAY_LoneLakeCabin,Lone Lake Cabin,,
GAMEPLAY_Lookout,Lookout,,
GAMEPLAY_Low,Low,,
GAMEPLAY_Madeittoday,Made it to day,,
GAMEPLAY_MagnifyingLens,Magnifying Lens,,
GAMEPLAY_MagnifyingLensDescription,A magnifying lens that can be used to start a fire during daylight.,,
GAMEPLAY_Magnifyinglensrequiresdirectsunlight,Magnifying lens requires direct sunlight,,
GAMEPLAY_MagnifyingLensTooltip,Firestarter; requires sunlight,,
GAMEPLAY_Map,Map,,
GAMEPLAY_MapNotAvailable,"(Not Available In Alpha)

A simple map that shows obvious known landmarks. 
It will be updated with Knowledge as you 
explore the world.",,
GAMEPLAY_MarinersPeaCoat,Mariner's Pea Coat,,
GAMEPLAY_MarinersPeaCoatDescription,"Heavy wool coat, of the sort traditionally worn by sailors and fishermen.",,
GAMEPLAY_MarinersPeaCoatTooltip,Clothing,,
GAMEPLAY_Match,Match,,
GAMEPLAY_Matches,Matches,,
GAMEPLAY_MaxsLastStand,Max's Last Stand,,
GAMEPLAY_Meat,Meat,,
GAMEPLAY_MedicineShelf,Medicine Shelf,,
GAMEPLAY_Medium,Medium,,
GAMEPLAY_MedKit,Med Kit,,
GAMEPLAY_MedKitDescription,,,
GAMEPLAY_MedKitTooltip,,,
GAMEPLAY_MeltingProgress,Melting Snow...,,
GAMEPLAY_MerlesKnowledge,Merle's Gas N Go,,
GAMEPLAY_MerlesKnowledgeDescription,Food and possibly medical supplies.,,
GAMEPLAY_MetalContainer,Boîte en Métal,,
GAMEPLAY_Metric,Métrique,,
GAMEPLAY_miles,miles,,
GAMEPLAY_MilitaryGradeMRE,Military-Grade MRE,,
GAMEPLAY_MilitaryGradeMREDescription,"Contemporary MRE, good quality, and meets all technical requirements to be considered real food! Designed to keep a soldier on their feet.",,
GAMEPLAY_MilitaryGradeMRETooltip,,,
GAMEPLAY_minute,minute,,
GAMEPLAY_minutes,minutes,,
GAMEPLAY_minutesShortForm,m,,
GAMEPLAY_MisanthropesHomestead,Misanthrope's Homestead,,
GAMEPLAY_Mittens,Mittens,,
GAMEPLAY_MittensDescription,"Light mittens, barely windproof. Warmer than gloves and better than nothing.",,
GAMEPLAY_MittensTooltip,Clothing,,
GAMEPLAY_MostlyCloudy,Mostly Cloudy,,
GAMEPLAY_MouseSensitivity,Sensibilité Souris,,
GAMEPLAY_MPHUnits,MPH,,
GAMEPLAY_Music,Musique,,
GAMEPLAY_MysteryLake,Mystery Lake,,
GAMEPLAY_MysteryLakeWesternAccess,Mystery Lake (Western Access),,
GAMEPLAY_NeverDieDisabled,Never Die Disabled,,
GAMEPLAY_NeverDieEnabled,Never Die Enabled,,
GAMEPLAY_NewSandbox,New Sandbox,,
GAMEPLAY_Newsprint,Newsprint,,
GAMEPLAY_NewsprintDescription,Newsprint. Can be used as tinder.,,
GAMEPLAY_NewsprintRoll,Newsprint Roll,,
GAMEPLAY_NewsprintRollDescription,Newsprint Roll. Can be used as tinder.,,
GAMEPLAY_NewsprintRollTooltip,Tinder source,,
GAMEPLAY_NewsprintTooltip,Tinder source,,
GAMEPLAY_NextDay,Next Day,,
GAMEPLAY_NoBedrollininventory,No Bedroll in inventory,,
GAMEPLAY_Nodecoysininventory,No decoys in inventory,,
GAMEPLAY_Nofirearmsininventory,No firearms in inventory,,
GAMEPLAY_Noflaresininventory,No flares in inventory,,
GAMEPLAY_Nofuelinlantern,No fuel in lantern,,
GAMEPLAY_NoKeroseneavailable,No Kerosene available,,
GAMEPLAY_Nolampsininventory,No lamps in inventory,,
GAMEPLAY_Nomorereclaimedwoodcanbeforaged,No more reclaimed wood can be foraged,,
GAMEPLAY_Nomoretindercanbeforaged,No more tinder can be foraged,,
GAMEPLAY_None,None,,
GAMEPLAY_NonPotableWaterSource,Non Potable Water Source,,
GAMEPLAY_NonPotableWaterSupply,Non Potable Water Supply,,
GAMEPLAY_Noobjectselectedforharvest,No object selected for harvest,,
GAMEPLAY_Noobjectselectedforrepair,No object selected for repair,,
GAMEPLAY_Normal,Normal,,
GAMEPLAY_North,North,,
GAMEPLAY_NorthEast,North East,,
GAMEPLAY_NorthWest,North West,,
GAMEPLAY_Nosavetoload,No save to load,,
GAMEPLAY_Notcarryinganywaterthatneedspurification,Not carrying any water that needs purification,,
GAMEPLAY_NotDehydrated,Not Dehydrated,,
GAMEPLAY_NotEncumbered,Not Encumbered,,
GAMEPLAY_NotExhausted,Not Exhausted,,
GAMEPLAY_NotFreezing,Not Freezing,,
GAMEPLAY_Nothingselectedforcrafting,Nothing selected for crafting,,
GAMEPLAY_Nothingtoharvest,Nothing to harvest,,
GAMEPLAY_NotStarving,Not Starving,,
GAMEPLAY_Nounsafewaterininventory,No unsafe water in inventory,,
GAMEPLAY_Nousablefuelsourceforfireininventory,No usable fuel source for fire in inventory,,
GAMEPLAY_Nousabletindertostartfireinventory,No usable tinder to start fire inventory,,
GAMEPLAY_Nousabletooltostartfireininventory,No usable tool to start fire in inventory,,
GAMEPLAY_Nowatertodrop,No water to drop,,
GAMEPLAY_Nowatertotake,No water to take,,
GAMEPLAY_Nowatertotransfer,No water to transfer,,
GAMEPLAY_NumAddedInventory,{item-name} ({num-value}) added to inventory,,
GAMEPLAY_NumRoundsReturned,{num-value} rounds returned to inventory,,
GAMEPLAY_Off,Off,,
GAMEPLAY_OldManDavisKnowledge,Old Man Davis,,
GAMEPLAY_OldManDavisKnowledgeDescription,"Armed and paranoid, but a good man.",,
GAMEPLAY_On,On,,
GAMEPLAY_Open,Open,,
GAMEPLAY_OpenCan,Open Can,,
GAMEPLAY_OpenedPostfix,(Opened),,
GAMEPLAY_OpeningProgress,Opening...,,
GAMEPLAY_Options,Options,,
GAMEPLAY_OrangeSoda,Orange Soda,,
GAMEPLAY_OrangeSodaDescription,Sweet carbonated drink. Full of high-fructose corn syrup.,,
GAMEPLAY_OrangeSodaTooltip,,,
GAMEPLAY_Oven,Oven,,
GAMEPLAY_Overloaded,Overloaded,,
GAMEPLAY_ozUnits,oz,,
GAMEPLAY_Painkillers,Painkillers,,
GAMEPLAY_PainkillersDescription,A bottle of Painkillers. Take it to reduce pain from injuries.,,
GAMEPLAY_PainkillersTooltip,Dulls Pain,,
GAMEPLAY_Paper,Paper,,
GAMEPLAY_Papers,Papers,,
GAMEPLAY_PartlyCloudy,Partly Cloudy,,
GAMEPLAY_Paused,Paused,,
GAMEPLAY_PauseMenu,Pause Menu,,
GAMEPLAY_PeanutButter,Peanut Butter,,
GAMEPLAY_PeanutButterDescription,Jar of creamy peanut butter. Good source of energy.,,
GAMEPLAY_PeanutButterTooltip,,,
GAMEPLAY_Pelt,Pelt,,
GAMEPLAY_PeltDescription,Pelt used for crafting and repair.,,
GAMEPLAY_PeltTooltip,Raw material,,
GAMEPLAY_PickUp,Pick Up,,
GAMEPLAY_Piece,Piece,,
GAMEPLAY_Pieces,Pieces,,
GAMEPLAY_Pill,Pill,,
GAMEPLAY_Pills,Pills,,
GAMEPLAY_PinnaclePeaches,Pinnacle Peaches,,
GAMEPLAY_PinnaclePeachesDescription,"High quality peaches, halved.",,
GAMEPLAY_PinnaclePeachesTooltip,,,
GAMEPLAY_Place,Place,,
GAMEPLAY_PlasticContainer,Boîte Plastique,,
GAMEPLAY_PlayerHealthPercent,Condition,,
GAMEPLAY_PM,PM,,
GAMEPLAY_PorkandBeans,Pork and Beans,,
GAMEPLAY_PorkandBeansDescription,"Beans in molasses, with bits of what looks like pork.",,
GAMEPLAY_PorkandBeansTooltip,,,
GAMEPLAY_potable,potable,,
GAMEPLAY_PotableWaterSource,Potable Water Source,,
GAMEPLAY_PotableWaterSupply,Potable Water Supply,,
GAMEPLAY_PotBellyStove,Pot Belly Stove,,
GAMEPLAY_PremiumWinterCoat,Premium Winter Coat,,
GAMEPLAY_PremiumWinterCoatDescription,Very high quality winter coat made of the finest materials. Highly wind resistant with a down fill. Made for pros.,,
GAMEPLAY_PremiumWinterCoatTooltip,Clothing,,
GAMEPLAY_PressAnyKeyToContinue,Appuyer sur une touche pour continuer,,
GAMEPLAY_PrevDay,Prev Day,,
GAMEPLAY_Prybar,Prybar,,
GAMEPLAY_PrybarDescription,A beat up prybar. Useful for opening locked containers.,,
GAMEPLAY_PrybarTooltip,Opens locked containers,,
GAMEPLAY_PurifyingWater,Purifying Water...,,
GAMEPLAY_PutBack,Remettre,,
GAMEPLAY_Quality,Qualité,,
GAMEPLAY_QualityTools,Quality Tools,,
GAMEPLAY_QualityToolsDescription,Good quality tools for crafting and repair.,,
GAMEPLAY_QualityToolsTooltip,Improves crafting & repair,,
GAMEPLAY_QuantityFuelReturned,{quant-value} fuel returned to inventory,,
GAMEPLAY_Quit,Quitter,,
GAMEPLAY_QuitToMenu,Revenir au Menu,,
GAMEPLAY_QuoteAtwood,"""What am I living for and what am I dying for are the same question.""  

- Margaret Atwood",,
GAMEPLAY_QuoteDarwin,"""It is not the strongest of the species that survives, nor the most intelligent that survives. It is the one that is the most adaptable to change.""

- Charles Darwin",,
GAMEPLAY_QuoteDavies,"“Extraordinary people survive under the most terrible circumstances and they become more extraordinary because of it.” 

- Robertson Davies",,
GAMEPLAY_QuoteGolding,"“He knelt among the shadows and felt his isolation bitterly. They were savages it was true; but they were human.” 

- William Golding, Lord of the Flies",,
GAMEPLAY_QuoteHeller,"“He is at home with his solitude as the note reverberating inside a bell.” 

- Peter Heller, The Dog Stars",,
GAMEPLAY_QuoteKing,"""No one can tell what goes on between the person you were and the person you become. No one can chart that blue and lonely section of hell. There are no maps of the change. You just come out the other side."" 

- Stephen King, The Stand",,
GAMEPLAY_QuoteMamet,"“You know, I once read an interesting book which said that, uh, most people lost in the wilds, they, they die of shame. Yeah, see, they die of shame. 'What did I do wrong? How could I have gotten myself into this?' And so they sit there and they... die. Because they didn't do the one thing that would save their lives. Thinking.” 

- David Mamet, The Edge",,
GAMEPLAY_QuoteMatheson,"“The foraging for food and water, the struggle for life in a world without masters, housed in a body that man had made dependent on himself.” 

- Richard Matheson, I Am Legend",,
GAMEPLAY_QuoteMcCarthy,"“No lists of things to be done. The day providential to itself. The hour. There is no later. This is later. All things of grace and beauty such that one holds them to one's heart have a common provenance in pain. Their birth in grief and ashes.” 

- Cormac McCarthy, The Road",,
GAMEPLAY_QuotePalahniuk,"""On a long enough time line, the survival rate for everyone drops to zero.""

- Chuck Palahniuk",,
GAMEPLAY_QuoteSagan,"“Extinction is the rule. Survival is the exception.” 

- Carl Sagan",,
GAMEPLAY_QuoteSalk,"“Life is an error-making and an error-correcting process, and nature in marking man's papers will grade him for wisdom as measured both by survival and by the quality of life of those who survive.”

- Jonas Salk",,
GAMEPLAY_QuoteSeneca,"""Sometimes even to live is an act of courage.""

- Seneca",,
GAMEPLAY_QuoteThoreau,"""I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived. I did not wish to live what was not life, living is so dear; nor did I wish to practise resignation, unless it was quite necessary. I wanted to live deep and suck out all the marrow of life, to live so sturdily and Spartan-like as to put to rout all that was not life, to cut a broad swath and shave close, to drive life into a corner, and reduce it to its lowest terms."" 

- Henry David Thoreau, Walden",,
GAMEPLAY_QuoteVonnegut,"“It is hard to adapt to chaos, but it can be done. I am living proof of that: It can be done” 

- Kurt Vonnegut, Breakfast of Champions",,
GAMEPLAY_RabbitCooked,Rabbit (Cooked),,
GAMEPLAY_RabbitCookedDescription,Cooked flesh from a rabbit.,,
GAMEPLAY_RabbitCookedTooltip,,,
GAMEPLAY_RabbitGrove,Rabbit Grove,,
GAMEPLAY_RabbitRaw,Rabbit  (Raw),,
GAMEPLAY_RabbitRawDescription,Flesh from a rabbit. Cook to eat safely.,,
GAMEPLAY_RabbitRawTooltip,,,
GAMEPLAY_RavagedPrefix,Ravaged,,
GAMEPLAY_ReclaimedWood,Reclaimed Wood,,
GAMEPLAY_ReclaimedWoodDescription,"Reclaimed wood (from broken furniture, wooden structures, etc.)",,
GAMEPLAY_ReclaimedWoodTooltip,Fuel & raw material,,
GAMEPLAY_RecoveredFromBloodLoss,Recovered From Blood Loss,,
GAMEPLAY_Refuel,Refuel,,
GAMEPLAY_RefuelingProgress,Refueling...,,
GAMEPLAY_Region,Region,,
GAMEPLAY_Register,Register,,
GAMEPLAY_Reload,Reload,,
GAMEPLAY_Remedy,Remedy,,
GAMEPLAY_Repair,Réparer,,
GAMEPLAY_RepairAmount,Degré de Réparation,,
GAMEPLAY_RepairingProgress,Réparation...,,
GAMEPLAY_RepairSkill,Compétence Réparation,,
GAMEPLAY_RepairSkillIncreased,Repair skill increased to {%-value},,
GAMEPLAY_RequiredMaterials,Matériel requis,,
GAMEPLAY_RequiredMaterialsHeader,"Matériels
Requis",,
GAMEPLAY_RequiresTool,(requires tool),,
GAMEPLAY_Requirestooltoforceopen,Requires tool to force open,,
GAMEPLAY_ResetToDefaults,Reset to Defaults,,
GAMEPLAY_Resolution,Resolution,,
GAMEPLAY_Rest,Repos,,
GAMEPLAY_Rested,Reposé,,
GAMEPLAY_Revolver,Revolver,,
GAMEPLAY_RevolverDescription,,,
GAMEPLAY_RevolverTooltip,,,
GAMEPLAY_RifleAmmunition,Rifle Ammunition,,
GAMEPLAY_RifleAmmunitionDescription,A box of rifle rounds.,,
GAMEPLAY_RifleAmmunitionTooltip,Ammo,,
GAMEPLAY_RifleRound,Rifle Round,,
GAMEPLAY_RifleRoundDescription,A single .303 rifle round.,,
GAMEPLAY_RifleRoundTooltip,Ammo,,
GAMEPLAY_Right,Right,,
GAMEPLAY_RimGrill,Rim Grill,,
GAMEPLAY_RiverNorthernAccess,River (Northern Access),,
GAMEPLAY_RiverSouthernAccess,River (Southern Access),,
GAMEPLAY_Rockfall,Rockfall,,
GAMEPLAY_Roll,Roll,,
GAMEPLAY_Rolls,Rolls,,
GAMEPLAY_Round,Round,,
GAMEPLAY_Rounds,Rounds,,
GAMEPLAY_Ruined,{item-name} ruined.,,
GAMEPLAY_RuinedPostfix,(Ruined),,
GAMEPLAY_Run,Run,,
GAMEPLAY_RunMethod,Course,,
GAMEPLAY_Safe,Safe,,
GAMEPLAY_SaltyCrackers,Salty Crackers,,
GAMEPLAY_SaltyCrackersDescription,"Dried, salty crackers. Will make you thirsty.",,
GAMEPLAY_SaltyCrackersTooltip,,,
GAMEPLAY_Sandbox,Bac à Sable,,
GAMEPLAY_SandboxAlpha,*Sandbox Alpha*,,
GAMEPLAY_SavedGame,Partie Sauvegardé,,
GAMEPLAY_Savegameinconsistenciesfound,Savegame inconsistencies found,,
GAMEPLAY_ScrapMetal,Scrap Metal,,
GAMEPLAY_ScrapMetalDescription,Bits and pieces of metal scrounged from various sources.,,
GAMEPLAY_ScrapMetalTooltip,Raw material,,
GAMEPLAY_ScreenMode,Mode Affichage,,
GAMEPLAY_Screenshot,Screenshot,,
GAMEPLAY_ScreenshotsSaved,*Screenshots saved to Desktop,,
GAMEPLAY_SearchedPostfix,(Searched),,
GAMEPLAY_Searching,Fouille...,,
GAMEPLAY_Selecthowmuchwatertodrop,Select how much water to drop,,
GAMEPLAY_Selecthowmuchwatertotake,Select how much water to take,,
GAMEPLAY_Selecthowmuchwatertotransfer,Select how much water to transfer,,
GAMEPLAY_SelectNumToDrop,Select how many {item-name} to drop,,
GAMEPLAY_SelectNumToHarvest,Select how many {item-name} to harvest,,
GAMEPLAY_SelectNumToTransfer,Select how many {item-name} to transfer,,
GAMEPLAY_SetDefaultFOV,Set Default FOV,,
GAMEPLAY_SewingKit,Sewing Kit,,
GAMEPLAY_SewingKitDescription,A basic sewing kit.  Required to craft and repair clothing.,,
GAMEPLAY_Sewingkitrequiredtorepairclothing,Sewing kit required to repair clothing,,
GAMEPLAY_SewingKitTooltip,,,
GAMEPLAY_Shoes,Shoes,,
GAMEPLAY_ShoesDescription,Run of the mill running shoes. Useless in the great outdoors.,,
GAMEPLAY_ShoesTooltip,Clothing,,
GAMEPLAY_Shovel,Shovel,,
GAMEPLAY_ShovelDescription,Missing,,
GAMEPLAY_ShovelTooltip,Missing,,
GAMEPLAY_SilentClearing,Silent Clearing,,
GAMEPLAY_SimpleTools,Simple Tools,,
GAMEPLAY_SimpleToolsDescription,"Simple tools, usable for basic crafting and repair.",,
GAMEPLAY_SimpleToolsTooltip,Improves crafting & repair,,
GAMEPLAY_SkiJacket,Ski Jacket,,
GAMEPLAY_SkiJacketDescription,"Synthetic, quilted ski jacket. Keeps the core warm but at the expense of windproofing.",,
GAMEPLAY_SkiJacketTooltip,Clothing,,
GAMEPLAY_SleepInterruptedWolf,Interrupted by wolf during sleep!  Had been sleeping for,,
GAMEPLAY_SlightlyTired,Slightly Tired,,
GAMEPLAY_SmallCupboard,Small Cupboard,,
GAMEPLAY_SmashCan,Smash Can,,
GAMEPLAY_SmashedItem,Smashed {item-name}.,,
GAMEPLAY_SmashedOpenPostfix,(Smashed Open),,
GAMEPLAY_SmashingOpenProgress,Smashing Open...,,
GAMEPLAY_Snare,Snare,,
GAMEPLAY_SnareDescription,"A simple snare, used to capture small game. (Crafted at the Workbench.)",,
GAMEPLAY_SnareTooltip,,,
GAMEPLAY_Snow,Neige,,
GAMEPLAY_SnowShelter,Igloo,,
GAMEPLAY_SnowShelterNotAvailable,"(Non disponbile dans l'apha)

""Spend"" Calories and Time to build an emergency shelter, as a last resort when stuck outside in bad weather.",,
GAMEPLAY_Softwood,Bois Tendre,,
GAMEPLAY_SortAlphabetic,Alphabétique,,
GAMEPLAY_SortCondition,Condition,,
GAMEPLAY_SortHeader,Tri:,,
GAMEPLAY_SortWeight,Poids,,
GAMEPLAY_Sound,Son,,
GAMEPLAY_South,Sud,,
GAMEPLAY_SouthEast,Sud-Est,,
GAMEPLAY_SouthWest,Sud-Ouest,,
GAMEPLAY_Spacebar,Espace,,
GAMEPLAY_SprainedAnkle,Sprained Ankle,,
GAMEPLAY_SprainedAnkleDescription,"You have twisted your ankle and are now suffering a sprain. Your mobility will be reduced until you treat it, or it heals over time.",,
GAMEPLAY_SprainedAnkleHealed,Sprained Ankle Healed,,
GAMEPLAY_SprainedAnkleHUD,Suffered sprained ankle,,
GAMEPLAY_SprainedAnkleLog,Sprained ankle.,,
GAMEPLAY_Start,Lancer,,
GAMEPLAY_Startedfire,Feu allumé.,,
GAMEPLAY_StartFire,Faire un Feu,,
GAMEPLAY_StartHarvest,Commencer Recyclage,,
GAMEPLAY_StartingFire,Allumage du feu...,,
GAMEPLAY_StartingFireIndoors,Starting a fire indoors requires a stove or fireplace,,
GAMEPLAY_Starving,Starving,,
GAMEPLAY_StormLantern,Storm Lantern,,
GAMEPLAY_StormLanternDescription,Wind-proof storm lantern with mechanical ignitor. Burns kerosene.,,
GAMEPLAY_StormLanternTooltip,Light source,,
GAMEPLAY_Story,Histoire,,
GAMEPLAY_StoryNotAvailable,"(Non disponible dans l'alpha)

Play the story of bush pilot[FFFF00] Will Mackenzie[-] as he struggles to survive, crashed in the wilderness in the aftermath of a mysterious geomagnetic disaster.

(Saison Une - Ep. 1-?)",,
GAMEPLAY_Strength,Strength,,
GAMEPLAY_Strike,Strike,,
GAMEPLAY_StrikeMatch,Strike Match,,
GAMEPLAY_Subtitles,Sous-titres,,
GAMEPLAY_Success,Success,,
GAMEPLAY_SufferedBurnsHUD,Suffered burns,,
GAMEPLAY_SufferedBurnsLog,Suffered burns.,,
GAMEPLAY_SummitSoda,Summit Soda,,
GAMEPLAY_SummitSodaDescription,Sweet carbonated drink. Full of high-fructose corn syrup.,,
GAMEPLAY_SummitSodaTooltip,,,
GAMEPLAY_SurvivalPanel,Survival Panel,,
GAMEPLAY_SurvivalTimewillnotbesenttoLeaderboards,Survival Time will not be sent to Leaderboards,,
GAMEPLAY_Survivor,survivant,,
GAMEPLAY_Tablet,Tablette,,
GAMEPLAY_Tablets,Tablettes,,
GAMEPLAY_Take,Prendre,,
GAMEPLAY_TakeAll,Tout Prendre,,
GAMEPLAY_TakeAntibiotics,Prendre Antibiotiques,,
GAMEPLAY_TakeOff,Enlever,,
GAMEPLAY_TakePainkillers,Prendre Analgésiques,,
GAMEPLAY_TakingAntibiotics,Taking Antibiotics...,,
GAMEPLAY_TakingPainkillers,Taking Painkillers...,,
GAMEPLAY_TestCache,Test Cache,,
GAMEPLAY_TestWaterSource,Test Water Source,,
GAMEPLAY_TheTooth,The Tooth,,
GAMEPLAY_ThinWoolSweater,Thin Wool Sweater,,
GAMEPLAY_ThinWoolSweaterDescription,"Thin-knit wool sweater. A decent mid-layer, and stays warm even when wet.",,
GAMEPLAY_ThinWoolSweaterTooltip,Clothing,,
GAMEPLAY_Thirst,Soif,,
GAMEPLAY_Thirsty,Assoiffé,,
GAMEPLAY_ThrowAim,Throw / Aim,,
GAMEPLAY_TimeForRepair,Temps nécessaire,,
GAMEPLAY_TimeToCreate,Temps de Fabrication,,
GAMEPLAY_Tinder,Petit bois,,
GAMEPLAY_TinderPlug,Brindille en Fagot,,
GAMEPLAY_TinderPlugDescription,"A small plug or bundle or flammable material (paper, wool, cloth, dry bark or needles, etc.) required to start a fire.",,
GAMEPLAY_TinderPlugTooltip,Tinder source,,
GAMEPLAY_TinofSardines,Tin of Sardines,,
GAMEPLAY_TinofSardinesDescription,Little fish in a can.,,
GAMEPLAY_TinofSardinesTooltip,,,
GAMEPLAY_Tired,Fatigué,,
GAMEPLAY_ToggleRun,Basculement,,
GAMEPLAY_Toilet,Toilet,,
GAMEPLAY_Toodifficulttoopen,Too difficult to open,,
GAMEPLAY_Toofarawaytoplaceobject,Too far away to place object,,
GAMEPLAY_ToolToUse,Outil à Utiliser:,,
GAMEPLAY_Toowindytolightmatch,Too windy to light match,,
GAMEPLAY_Toque,Toque,,
GAMEPLAY_ToqueDescription,Knitted wool cap. Canadian style.,,
GAMEPLAY_ToqueTooltip,Clothing,,
GAMEPLAY_TrainBridge,Train Bridge,,
GAMEPLAY_TrainLoadingArea,Train Loading Area,,
GAMEPLAY_TrainUnloading,Train Unloading,,
GAMEPLAY_Transfer,Transfer,,
GAMEPLAY_TransferAll,Transfer All,,
GAMEPLAY_TrappersHomestead,Trapper's Homestead,,
GAMEPLAY_TraveltoCoastalHighway,Travel to Coastal Highway,,
GAMEPLAY_TraveltoMysteryLake,Travel to Mystery Lake,,
GAMEPLAY_TraveltoRavine,Travel to Ravine,,
GAMEPLAY_Tumbler1,Tumbler 1,,
GAMEPLAY_Tumbler2,Tumbler 2,,
GAMEPLAY_Tumbler3,Tumbler 3,,
GAMEPLAY_Tumbler4,Tumbler 4,,
GAMEPLAY_Tumbler5,Tumbler 5,,
GAMEPLAY_TunnelCollapse,Tunnel Collapse,,
GAMEPLAY_TypeHeader,Type:,,
GAMEPLAY_Ultra,Ultra,,
GAMEPLAY_UnableToForage,You were unable to forage any usable wood,,
GAMEPLAY_Unequip,Unequip,,
GAMEPLAY_units,unités,,
GAMEPLAY_UnitsToHarvest,Quantités à produire:,,
GAMEPLAY_Unknown,Unknown,,
GAMEPLAY_UnnamedPond,Unnamed Pond,,
GAMEPLAY_unsafe,unsafe,,
GAMEPLAY_Use,Use,,
GAMEPLAY_USE,USE,,
GAMEPLAY_UseCanOpener,Use Can Opener,,
GAMEPLAY_UseHatchet,Use Hatchet,,
GAMEPLAY_UseKnife,Use Knife,,
GAMEPLAY_VenisonCooked,Venison (Cooked),,
GAMEPLAY_VenisonCookedDescription,Cooked flesh from a deer.,,
GAMEPLAY_VenisonCookedTooltip,,,
GAMEPLAY_VenisonRaw,Venison (Raw),,
GAMEPLAY_VenisonRawDescription,Flesh from a deer. Cook to eat safely.,,
GAMEPLAY_VenisonRawTooltip,,,
GAMEPLAY_VerticalSync,V-Sync,,
GAMEPLAY_VeryTired,Very Tired,,
GAMEPLAY_Voice,Voix,,
GAMEPLAY_WakeTime,Heure de réveil,,
GAMEPLAY_Warmer,Plus Chaud,,
GAMEPLAY_WarmthBonus,Warmth Bonus,,
GAMEPLAY_Washer,Washer,,
GAMEPLAY_Water,Water,,
GAMEPLAY_WaterBottleSmall,Water Bottle,,
GAMEPLAY_WaterBottleMedium,Water Bottle,,
GAMEPLAY_WaterBottleSmallDescription,Plastic bottle that holds up to 500ml (17 oz) of liquid.,,
GAMEPLAY_WaterBottleMediumDescription,Plastic bottle that holds up to 1L (34 oz) of liquid.,,
GAMEPLAY_WaterBottleSmallTooltip,,,
GAMEPLAY_WaterBottleMediumTooltip,,,
GAMEPLAY_WaterfrontCottages,Waterfront Cottages,,
GAMEPLAY_WaterPotable,Water (Potable),,
GAMEPLAY_WaterPotableDescription,Water that is safe to drink.,,
GAMEPLAY_WaterPotableTooltip,,,
GAMEPLAY_WaterPurificationTablets,Water Purification Tablets,,
GAMEPLAY_WaterPurificationTabletsDescription,A packet of water purification tablets. Can help prevent dysentery.,,
GAMEPLAY_WaterPurificationTabletsTooltip,Purifies unsafe water,,
GAMEPLAY_WaterPurified,{quant-value} water purified,,
GAMEPLAY_WaterQuantityQuality,{quant-value} Water ({qual-value}),,
GAMEPLAY_WaterUnsafe,Water (Unsafe),,
GAMEPLAY_WaterUnsafeDescription,Water that may make you ill.,,
GAMEPLAY_WaterUnsafeTooltip,,,
GAMEPLAY_WeakIce,Weak Ice,,
GAMEPLAY_Wear,Porter,,
